,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
0,280 South Phelps Drive 85220,25,Pinal County,Mexican,33.4123700000,Apache Junction,-111.5505900000,2,3.6,9ACD32,Good,17027650,Los Gringos Locos,"11 AM to 8 PM (Mon-Thu, Sun), 11 AM to 9 PM (Fri-Sat)",https://www.zomato.com/pinal-county-az/los-gringos-locos-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85220,11195
1,"1422 E Broadway Ave, Apache Junction 85219",10,Pinal County,"American, Italian, Mexican",33.4080070000,Apache Junction,-111.5310220000,1,3.3,CDD614,Average,17029785,Tres Banderas,11 AM to 9 PM (Mon-Sun),https://www.zomato.com/pinal-county-az/tres-banderas-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85219,11195
2,"945 E Scenic St, Apache Junction 85219",10,Pinal County,American,33.4185990000,Apache Junction,-111.5357360000,1,3.4,CDD614,Average,17029466,Superstition Skies,10 AM to 2 AM (Mon-Sun),https://www.zomato.com/pinal-county-az/superstition-skies-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85219,11195
3,"183 West Apache Trail, #4, Apache Junction 85120",10,Pinal County,Chinese,33.4125889000,Apache Junction,-111.5499210000,1,3.4,CDD614,Average,17033599,Lotus Garden Chinese,11 AM to 9 PM (Mon-Sun),https://www.zomato.com/pinal-county-az/lotus-garden-chinese-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85120,11195
4,"285 N Apache Trail, Apache Junction 85120",70,Pinal County,Steak,33.4175130000,Apache Junction,-111.5469850000,4,3.2,CDD614,Average,17035576,Cowboy Up,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/pinal-county-az/cowboy-up-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85120,11195
5,240 South Phelps Drive 85120,10,Pinal County,"Fast Food, Pizza",33.4126499550,Apache Junction,-111.5511108935,1,0,CBCBCB,Not rated,17033445,Pizza Hut,11 AM to 10 PM,https://www.zomato.com/pinal-county-az/pizza-hut-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85120,11195
6,97 West Apache Trail 85120,10,Pinal County,Fast Food,33.4129431818,Apache Junction,-111.5474322229,1,0,CBCBCB,Not rated,17034362,Taco Bell,"7 AM to 12 Midnight (Mon-Thu, Sun), 7 AM to 1 AM (Fri-Sat)",https://www.zomato.com/pinal-county-az/taco-bell-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85120,11195
7,"300 N Apache Trail, Apache Junction 85120",0,Pinal County,Bar Food,33.4170525000,Apache Junction,-111.5480039000,1,0,CBCBCB,Not rated,17821556,Captain's,10 AM to 11 PM (Mon-Sun),https://www.zomato.com/pinal-county-az/captains-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85120,11195
8,"2933 S Tomahawk Rd, Apache Junction 85119",10,Pinal County,Fast Food,33.4172900000,Apache Junction,-111.5287600000,1,0,CBCBCB,Not rated,17035486,Carl's Jr.,,https://www.zomato.com/pinal-county-az/carls-jr-1-apache-junction?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85119,11195
9,1035 North Avondale Boulevard 85323,25,Maricopa County,American,33.4581600000,Avondale,-112.3059400000,2,3.3,CDD614,Average,17031573,Ruby Tuesday,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)",https://www.zomato.com/maricopa-county-az/ruby-tuesday-1-avondale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85323,11194
10,"11460 W. Hilton Way ( Hilton Garden Inn), Avondale 85323",25,Maricopa County,"American, Breakfast, Bar Food",33.4573940000,Avondale,-112.3048500000,2,3.2,CDD614,Average,17031230,Great American Grill,"6 AM to 10 AM, 4:30 PM to 11 PM (Mon-Sun)",https://www.zomato.com/maricopa-county-az/great-american-grill-1-avondale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85323,11194
11,"210 N Avondale Blvd, Avondale 85323",10,Maricopa County,Mexican,33.4495291000,Avondale,-112.3066117000,1,0,CBCBCB,Not rated,17780390,Tortas Y Raspados la Cascada,10 AM to 9 PM (Mon-Sun),https://www.zomato.com/maricopa-county-az/tortas-y-raspados-la-cascada-1-avondale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85323,11194
12,"12325 W McDowell Rd, Avondale 85392",25,Maricopa County,"Latin American, Sandwich",33.4639904000,Avondale,-112.3199377000,2,0,CBCBCB,Not rated,17033211,Ají Mobile Foods,,https://www.zomato.com/maricopa-county-az/aj-mobile-foods-avondale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85392,11194
13,154 East 4th Street 85602,0,Benson,,31.9683000000,Benson,-110.2969700000,1,3.9,9ACD32,Good,17281161,Horseshoe Cafe & Bakery,"6 AM to 8 PM (Mon-Sat), 6 AM to 2 PM (Sun)",https://www.zomato.com/benson-az/horseshoe-cafe-bakery-benson-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
14,"723 W 4th St, Benson 85602",10,Benson,Mexican,31.9712120000,Benson,-110.3104680000,1,3.9,9ACD32,Good,17283152,Mi Casa Restaurant,"(Sun, Sat), Lunch, Dinner (Mon-Fri)",https://www.zomato.com/benson-az/mi-casa-restaurant-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
15,"675 West 4th Street, Benson 85602",0,Benson,Mexican,31.9706400000,Benson,-110.3102300000,1,4.1,5BA829,Very Good,17281165,Magaly's Mexican Restaurant,"11 AM to 7 PM (Tue-Thu, Sun), 11 AM to 8 PM (Fri-Sat), Mon Closed",https://www.zomato.com/benson-az/magalys-mexican-restaurant-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
16,"1020 W 4TH St, Benson 85602",0,Benson,"Breakfast, Coffee and Tea, Diner",31.9711000000,Benson,-110.3169000000,1,3.7,9ACD32,Good,17281171,Reb's Cafe & Coffee Shop,"Breakfast, Lunch (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/benson-az/rebs-cafe-coffee-shop-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
17,"161 S Huachuca St, Benson 85602",10,Benson,"Italian, Pizza",31.9672906000,Benson,-110.2961217000,1,3.7,9ACD32,Good,17281170,R & R Pizza Express,"10 AM to 9 PM (Mon-Sat),Closed (Sun)",https://www.zomato.com/benson-az/r-r-pizza-express-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
18,114 East 5th Street 85602,25,Benson,"Italian, Pizza",31.9671500000,Benson,-110.2967600000,2,3.7,9ACD32,Good,17281159,G & F Pizza Palace,,https://www.zomato.com/benson-az/g-f-pizza-palace-benson-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
19,687 West 4th Street 85602,25,Benson,"American, Mexican, Seafood",31.9706100000,Benson,-110.3097300000,2,3.8,9ACD32,Good,17283198,Pablo's Steaks and More,3 PM to 9 PM,https://www.zomato.com/benson-az/pablos-steaks-and-more-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
20,"601 W 4th St, Benson 85602",25,Benson,,31.9703400000,Benson,-110.3074270000,2,3.6,9ACD32,Good,17283064,Palatianos,,https://www.zomato.com/benson-az/palatianos-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
21,"541 W 4th St, Benson 85602",0,Benson,Mexican,31.9701000000,Benson,-110.3059000000,1,3.8,9ACD32,Good,17281167,Nico's Mexican Food,,https://www.zomato.com/benson-az/nicos-mexican-food-benson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85602,4324
22,"851 W State Hwy 92, Bisbee 85603",10,Bisbee,"Pizza, Sandwich",31.4171000000,Bisbee,-109.8979000000,1,3.7,9ACD32,Good,17281180,Bisbee Beverage Liquor & Deli,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/bisbee-az/bisbee-beverage-liquor-deli-bisbee?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85603,4323
23,805 E Monroe Avenue 85326,11,Maricopa County,Asian,0.0000000000,Buckeye,0.0000000000,1,0,CBCBCB,Not rated,18113440,Argentos Pizza,,https://www.zomato.com/maricopa-county-az/argentos-pizza-1-buckeye?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85326,11194
24,"2164 Highway 95, Bullhead City 86442",10,Bullhead City,"Asian, Chinese, Diner",35.1097000000,Bullhead City,-114.5979000000,1,3.7,9ACD32,Good,17281233,China Panda Restaurant,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/bullhead-city-az/china-panda-restaurant-bullhead-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86442,4402
25,"2350 S Miracle Mile Ste 306, Bullhead City 86442",10,Bullhead City,"Coffee and Tea, Sandwich",35.1080000000,Bullhead City,-114.6010000000,1,3.6,9ACD32,Good,17281254,Fire House Coffee Co,"6 AM to 5 PM (Mon-Fri),7 AM to 5 PM (Sat-Sun)",https://www.zomato.com/bullhead-city-az/fire-house-coffee-co-bullhead-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86442,4402
26,"1885 Highway 95, Bullhead City 86442",25,Bullhead City,Mexican,35.1200000000,Bullhead City,-114.5922000000,2,3.3,CDD614,Average,17281250,El Palacio of Bullhead City,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/bullhead-city-az/el-palacio-of-bullhead-city-bullhead-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86442,4402
27,"2250 Highway 95 Ste 516, Bullhead City 86442",10,Bullhead City,Mexican,35.1092000000,Bullhead City,-114.5980000000,1,3.4,CDD614,Average,17281256,Humberto's Taco Shop,,https://www.zomato.com/bullhead-city-az/humbertos-taco-shop-bullhead-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86442,4402
28,1970 Highway 95 86442,25,Bullhead City,"Japanese, Sushi",35.1184300000,Bullhead City,-114.5973500000,2,3.6,9ACD32,Good,17281269,Maki Sushi,"11 AM to 8:30 PM (Mon-Thu), 11 AM to 9 PM (Fri-Sat), Sun Closed",https://www.zomato.com/bullhead-city-az/maki-sushi-bullhead-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86442,4402
